epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,391.962646484375,392.4623107910156,481.52581787109375,297.9550476074219,298.45458984375,353.7315368652344,0.0010000000474974513
2,288.1058654785156,288.60546875,335.7169189453125,286.9288024902344,287.4282531738281,335.03167724609375,0.0010000000474974513
3,287.3175964355469,287.81732177734375,335.0990295410156,285.55328369140625,286.0528564453125,333.0518493652344,0.0010000000474974513
4,286.62872314453125,287.1284484863281,334.1669921875,285.6337890625,286.13360595703125,333.04608154296875,0.0010000000474974513
5,285.7835998535156,286.28326416015625,333.7113952636719,285.61895751953125,286.11865234375,333.0503234863281,0.0010000000474974513
6,285.1963806152344,285.69610595703125,333.379150390625,285.8388366699219,286.33843994140625,333.29388427734375,0.0010000000474974513
7,283.7139892578125,284.2137145996094,332.0005798339844,285.7757263183594,286.2753601074219,333.18170166015625,0.0005000000237487257
8,283.0466613769531,283.5462951660156,331.49749755859375,285.81671142578125,286.3164978027344,333.2787780761719,0.0005000000237487257
9,282.8080139160156,283.30767822265625,331.42547607421875,285.98712158203125,286.4866638183594,333.749755859375,0.0005000000237487257
10,282.0871887207031,282.5867919921875,330.8671569824219,285.95440673828125,286.4539489746094,333.5895080566406,0.0002500000118743628
